,problemId,titleKo,titles,isSolvable,acceptedUserCount,level,givesNoRating,averageTries,official,tags,Unnamed: 0,0
0,1000,A+B,"[{'language': 'en', 'languageDisplayName': 'en', 'title': 'A+B', 'isOriginal': True}, {'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A+B', 'isOriginal': True}]",TRUE,248747,1,FALSE,2.4906,TRUE,"implementation,arithmetic,math,",0,1000
1,1001,A-B,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A-B', 'isOriginal': True}]",TRUE,211935,1,FALSE,1.421,TRUE,"implementation,arithmetic,math,",1,1001
2,1002,터렛,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '터렛', 'isOriginal': True}]",TRUE,33220,8,FALSE,4.4786,TRUE,"case_work,geometry,math,",2,1002
3,1003,피보나치 함수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '피보나치 함수', 'isOriginal': True}]",TRUE,45403,8,FALSE,3.0812,TRUE,"dp,",3,1003
4,1004,어린 왕자,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '어린 왕자', 'isOriginal': True}]",TRUE,13610,8,FALSE,2.1913,TRUE,"geometry,math,",4,1004
5,1005,ACM Craft,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'ACM Craft', 'isOriginal': True}]",TRUE,11537,13,FALSE,3.6431,TRUE,"dp,graphs,topological_sorting,",5,1005
6,1006,습격자 초라기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '습격자 초라기', 'isOriginal': True}]",TRUE,1788,18,FALSE,5.1337,TRUE,"dp,",6,1006
7,1007,벡터 매칭,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '벡터 매칭', 'isOriginal': True}]",TRUE,2986,14,FALSE,2.6785,TRUE,"bruteforcing,math,",7,1007
8,1008,A/B,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'A/B', 'isOriginal': True}]",TRUE,170308,1,FALSE,2.8795,TRUE,"implementation,arithmetic,math,",8,1008
9,1009,분산처리,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '분산처리', 'isOriginal': True}]",TRUE,17661,4,FALSE,4.1047,TRUE,"implementation,math,",9,1009
10,1010,다리 놓기,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '다리 놓기', 'isOriginal': True}]",TRUE,30115,6,FALSE,2.0673,TRUE,"combinatorics,dp,math,",10,1010
11,1011,Fly me to the Alpha Centauri,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'Fly me to the Alpha Centauri', 'isOriginal': True}]",TRUE,21534,11,FALSE,3.2042,TRUE,"math,",11,1011
12,1012,유기농 배추,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '유기농 배추', 'isOriginal': True}]",TRUE,40879,9,FALSE,2.6507,TRUE,"graphs,graph_traversal,bfs,dfs,",12,1012
13,1013,Contact,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': 'Contact', 'isOriginal': True}]",TRUE,3907,11,FALSE,2.7464,TRUE,"regex,string,",13,1013
14,1014,컨닝,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '컨닝', 'isOriginal': False}, {'language': 'en', 'languageDisplayName': 'en', 'title': 'No Cheating (Small)', 'isOriginal': True}]",TRUE,1805,17,FALSE,2.1429,TRUE,"bitmask,dp,flow,dp_bitfield,",14,1014
15,1015,수열 정렬,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '수열 정렬', 'isOriginal': True}]",TRUE,5434,7,FALSE,1.8631,TRUE,"sorting,",15,1015
16,1016,제곱 ㄴㄴ 수,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '제곱 ㄴㄴ 수', 'isOriginal': True}]",TRUE,7271,15,FALSE,4.678,TRUE,"math,number_theory,primality_test,sieve,",16,1016
17,1017,소수 쌍,"[{'language': 'ko', 'languageDisplayName': 'ko', 'title': '소수 쌍', 'isOriginal': True}]",TRUE,1872,18,FALSE,3.9936,TRUE,"bipartite_matching,math,number_theory,primality_test,sieve,",17,1017
